Day,Depth,Temperature
17,15.503,8.855924147
17,16.003,8.825804797
17,16.503,8.788166476
17,17.003,8.769846535
17,17.503,8.750778108
17,18.003,8.731948299
18,2.003,12.42700739
18,2.503,12.2702427
18,3.003,12.14214273
18,3.503,12.02076456
18,4.003,11.71694186
18,4.503,11.37333965
18,5.003,10.94321656
18,5.503,10.5313907
18,6.003,10.13179613
18,6.503,9.771423925
18,7.003,9.480140216
18,7.503,9.423671784
18,8.003,9.367131445
18,8.503,9.315148366
18,9.003,9.28186608
18,9.503,9.263583915
18,10.003,9.226678155
18,10.503,9.19741748
18,11.003,9.175606794
18,11.503,9.141979989
18,12.003,9.104518967
18,12.503,9.073535565
18,13.003,9.04167104
18,13.503,9.000641463
18,14.003,8.967486029
18,14.503,8.927007681
18,15.003,8.881768853
18,15.503,8.855924147
18,16.003,8.825804797
18,16.503,8.788166476
18,17.003,8.769846535
18,17.503,8.750778108
18,18.003,8.731948299
19,2.003,12.42700739
19,2.503,12.2702427
19,3.003,12.14214273
19,3.503,12.02076456
19,4.003,11.71694186
19,4.503,11.37333965
19,5.003,10.94321656
19,5.503,10.5313907
19,6.003,10.13179613
19,6.503,9.771423925
19,7.003,9.480140216
19,7.503,9.423671784
19,8.003,9.367131445
19,8.503,9.315148366
19,9.003,9.28186608
19,9.503,9.263583915
19,10.003,9.226678155
19,10.503,9.19741748
19,11.003,9.175606794
19,11.503,9.141979989
19,12.003,9.104518967
19,12.503,9.073535565
19,13.003,9.04167104
19,13.503,9.000641463
19,14.003,8.967486029
19,14.503,8.927007681
19,15.003,8.881768853
19,15.503,8.855924147
19,16.003,8.825804797
19,16.503,8.788166476
19,17.003,8.769846535
19,17.503,8.750778108
19,18.003,8.731948299
20,2.003,12.42700739
20,2.503,12.2702427
20,3.003,12.14214273
20,3.503,12.02076456
20,4.003,11.71694186
20,4.503,11.37333965
20,5.003,10.94321656
20,5.503,10.5313907
20,6.003,10.13179613
20,6.503,9.771423925
20,7.003,9.480140216
20,7.503,9.423671784
20,8.003,9.367131445
20,8.503,9.315148366
20,9.003,9.28186608
20,9.503,9.263583915
20,10.003,9.226678155
20,10.503,9.19741748
20,11.003,9.175606794
20,11.503,9.141979989
20,12.003,9.104518967
20,12.503,9.073535565
20,13.003,9.04167104
20,13.503,9.000641463
20,14.003,8.967486029
20,14.503,8.927007681
20,15.003,8.881768853
20,15.503,8.855924147
20,16.003,8.825804797
20,16.503,8.788166476
20,17.003,8.769846535
20,17.503,8.750778108
20,18.003,8.731948299
21,2.003,12.42700739
21,2.503,12.2702427
21,3.003,12.14214273
21,3.503,12.02076456
21,4.003,11.71694186
21,4.503,11.37333965
21,5.003,10.94321656
21,5.503,10.5313907
21,6.003,10.13179613
21,6.503,9.771423925
21,7.003,9.480140216
21,7.503,9.423671784
21,8.003,9.367131445
21,8.503,9.315148366
21,9.003,9.28186608
21,9.503,9.263583915
21,10.003,9.226678155
21,10.503,9.19741748
21,11.003,9.175606794
21,11.503,9.141979989
21,12.003,9.104518967
21,12.503,9.073535565
21,13.003,9.04167104
21,13.503,9.000641463
21,14.003,8.967486029
21,14.503,8.927007681
21,15.003,8.881768853
21,15.503,8.855924147
21,16.003,8.825804797
21,16.503,8.788166476
21,17.003,8.769846535
21,17.503,8.750778108
21,18.003,8.731948299
22,2.003,12.42700739
22,2.503,12.2702427
22,3.003,12.14214273
22,3.503,12.02076456
22,4.003,11.71694186
22,4.503,11.37333965
22,5.003,10.94321656
22,5.503,10.5313907
22,6.003,10.13179613
22,6.503,9.771423925
22,7.003,9.480140216
22,7.503,9.423671784
22,8.003,9.367131445
22,8.503,9.315148366
22,9.003,9.28186608
22,9.503,9.263583915
22,10.003,9.226678155
22,10.503,9.19741748
22,11.003,9.175606794
22,11.503,9.141979989
22,12.003,9.104518967
22,12.503,9.073535565
22,13.003,9.04167104
22,13.503,9.000641463
22,14.003,8.967486029
22,14.503,8.927007681
22,15.003,8.881768853
22,15.503,8.855924147
22,16.003,8.825804797
22,16.503,8.788166476
22,17.003,8.769846535
22,17.503,8.750778108
22,18.003,8.731948299
23,2.003,12.42700739
23,2.503,12.2702427
23,3.003,12.14214273
23,3.503,12.02076456
23,4.003,11.71694186
23,4.503,11.37333965
23,5.003,10.94321656
23,5.503,10.5313907
23,6.003,10.13179613
23,6.503,9.771423925
23,7.003,9.480140216
23,7.503,9.423671784
23,8.003,9.367131445
23,8.503,9.315148366
23,9.003,9.28186608
23,9.503,9.263583915
23,10.003,9.226678155
23,10.503,9.19741748
23,11.003,9.175606794
23,11.503,9.141979989
23,12.003,9.104518967
23,12.503,9.073535565
23,13.003,9.04167104
23,13.503,9.000641463
23,14.003,8.967486029
23,14.503,8.927007681
23,15.003,8.881768853
23,15.503,8.855924147
23,16.003,8.825804797
23,16.503,8.788166476
23,17.003,8.769846535
23,17.503,8.750778108
23,18.003,8.731948299
24,2.003,12.42700739
24,2.503,12.2702427
24,3.003,12.14214273
24,3.503,12.02076456
24,4.003,11.71694186
24,4.503,11.37333965
24,5.003,10.94321656
24,5.503,10.5313907
24,6.003,10.13179613
24,6.503,9.771423925
24,7.003,9.480140216
24,7.503,9.423671784
24,8.003,9.367131445
24,8.503,9.315148366
24,9.003,9.28186608
24,9.503,9.263583915
24,10.003,9.226678155
24,10.503,9.19741748
24,11.003,9.175606794
24,11.503,9.141979989
24,12.003,9.104518967
24,12.503,9.073535565
24,13.003,9.04167104
24,13.503,9.000641463
24,14.003,8.967486029
24,14.503,8.927007681
24,15.003,8.881768853
24,15.503,8.855924147
24,16.003,8.825804797
24,16.503,8.788166476
24,17.003,8.769846535
24,17.503,8.750778108
24,18.003,8.731948299
25,2.003,12.42700739
25,2.503,12.2702427
25,3.003,12.14214273
25,3.503,12.02076456
25,4.003,11.71694186
25,4.503,11.37333965
25,5.003,10.94321656
25,5.503,10.5313907
25,6.003,10.13179613
25,6.503,9.771423925
25,7.003,9.480140216
25,7.503,9.423671784
25,8.003,9.367131445
25,8.503,9.315148366
25,9.003,9.28186608
25,9.503,9.263583915
25,10.003,9.226678155
25,10.503,9.19741748
25,11.003,9.175606794
25,11.503,9.141979989
25,12.003,9.104518967
25,12.503,9.073535565
25,13.003,9.04167104
25,13.503,9.000641463
25,14.003,8.967486029
25,14.503,8.927007681
25,15.003,8.881768853
25,15.503,8.855924147
25,16.003,8.825804797
25,16.503,8.788166476
25,17.003,8.769846535
25,17.503,8.750778108
25,18.003,8.731948299
26,2.003,12.42700739
26,2.503,12.2702427
26,3.003,12.14214273
26,3.503,12.02076456
26,4.003,11.71694186
26,4.503,11.37333965
26,5.003,10.94321656
26,5.503,10.5313907
26,6.003,10.13179613
26,6.503,9.771423925
26,7.003,9.480140216
26,7.503,9.423671784
26,8.003,9.367131445
26,8.503,9.315148366
26,9.003,9.28186608
26,9.503,9.263583915
26,10.003,9.226678155
26,10.503,9.19741748
26,11.003,9.175606794
26,11.503,9.141979989
26,12.003,9.104518967
26,12.503,9.073535565
26,13.003,9.04167104
26,13.503,9.000641463
26,14.003,8.967486029
26,14.503,8.927007681
26,15.003,8.881768853
26,15.503,8.855924147
26,16.003,8.825804797
26,16.503,8.788166476
26,17.003,8.769846535
26,17.503,8.750778108
26,18.003,8.731948299
27,2.003,12.42700739
27,2.503,12.2702427
27,3.003,12.14214273
27,3.503,12.02076456
